top_left,top_middle,top_right,middle_left,middle_middle,middle_right,bottom_left,bottom_middle,shape
puzzle_0_tl,puzzle_0_tm,puzzle_0_tr,puzzle_0_ml,puzzle_0_mm,puzzle_0_mr,puzzle_0_bl,puzzle_0_bm,right_triangle
puzzle_1_tl,puzzle_1_tm,puzzle_1_tr,puzzle_1_ml,puzzle_1_mm,puzzle_1_mr,puzzle_1_bl,puzzle_1_bm,right_triangle
puzzle_2_tl,puzzle_2_tm,puzzle_2_tr,puzzle_2_ml,puzzle_2_mm,puzzle_2_mr,puzzle_2_bl,puzzle_2_bm,hexagon
puzzle_3_tl,puzzle_3_tm,puzzle_3_tr,puzzle_3_ml,puzzle_3_mm,puzzle_3_mr,puzzle_3_bl,puzzle_3_bm,hexagon
puzzle_4_tl,puzzle_4_tm,puzzle_4_tr,puzzle_4_ml,puzzle_4_mm,puzzle_4_mr,puzzle_4_bl,puzzle_4_bm,trapeze
puzzle_5_tl,puzzle_5_tm,puzzle_5_tr,puzzle_5_ml,puzzle_5_mm,puzzle_5_mr,puzzle_5_bl,puzzle_5_bm,right_triangle
puzzle_6_tl,puzzle_6_tm,puzzle_6_tr,puzzle_6_ml,puzzle_6_mm,puzzle_6_mr,puzzle_6_bl,puzzle_6_bm,rhombus
puzzle_7_tl,puzzle_7_tm,puzzle_7_tr,puzzle_7_ml,puzzle_7_mm,puzzle_7_mr,puzzle_7_bl,puzzle_7_bm,square
puzzle_8_tl,puzzle_8_tm,puzzle_8_tr,puzzle_8_ml,puzzle_8_mm,puzzle_8_mr,puzzle_8_bl,puzzle_8_bm,rhombus
puzzle_9_tl,puzzle_9_tm,puzzle_9_tr,puzzle_9_ml,puzzle_9_mm,puzzle_9_mr,puzzle_9_bl,puzzle_9_bm,circle
puzzle_10_tl,puzzle_10_tm,puzzle_10_tr,puzzle_10_ml,puzzle_10_mm,puzzle_10_mr,puzzle_10_bl,puzzle_10_bm,rhombus
puzzle_11_tl,puzzle_11_tm,puzzle_11_tr,puzzle_11_ml,puzzle_11_mm,puzzle_11_mr,puzzle_11_bl,puzzle_11_bm,kite
puzzle_12_tl,puzzle_12_tm,puzzle_12_tr,puzzle_12_ml,puzzle_12_mm,puzzle_12_mr,puzzle_12_bl,puzzle_12_bm,circle
puzzle_13_tl,puzzle_13_tm,puzzle_13_tr,puzzle_13_ml,puzzle_13_mm,puzzle_13_mr,puzzle_13_bl,puzzle_13_bm,circle
puzzle_14_tl,puzzle_14_tm,puzzle_14_tr,puzzle_14_ml,puzzle_14_mm,puzzle_14_mr,puzzle_14_bl,puzzle_14_bm,pentagon
puzzle_15_tl,puzzle_15_tm,puzzle_15_tr,puzzle_15_ml,puzzle_15_mm,puzzle_15_mr,puzzle_15_bl,puzzle_15_bm,rhombus
puzzle_16_tl,puzzle_16_tm,puzzle_16_tr,puzzle_16_ml,puzzle_16_mm,puzzle_16_mr,puzzle_16_bl,puzzle_16_bm,hexagon
puzzle_17_tl,puzzle_17_tm,puzzle_17_tr,puzzle_17_ml,puzzle_17_mm,puzzle_17_mr,puzzle_17_bl,puzzle_17_bm,triangle
puzzle_18_tl,puzzle_18_tm,puzzle_18_tr,puzzle_18_ml,puzzle_18_mm,puzzle_18_mr,puzzle_18_bl,puzzle_18_bm,pentagon
puzzle_19_tl,puzzle_19_tm,puzzle_19_tr,puzzle_19_ml,puzzle_19_mm,puzzle_19_mr,puzzle_19_bl,puzzle_19_bm,triangle
puzzle_20_tl,puzzle_20_tm,puzzle_20_tr,puzzle_20_ml,puzzle_20_mm,puzzle_20_mr,puzzle_20_bl,puzzle_20_bm,hexagon
puzzle_21_tl,puzzle_21_tm,puzzle_21_tr,puzzle_21_ml,puzzle_21_mm,puzzle_21_mr,puzzle_21_bl,puzzle_21_bm,right_triangle
puzzle_22_tl,puzzle_22_tm,puzzle_22_tr,puzzle_22_ml,puzzle_22_mm,puzzle_22_mr,puzzle_22_bl,puzzle_22_bm,triangle
puzzle_23_tl,puzzle_23_tm,puzzle_23_tr,puzzle_23_ml,puzzle_23_mm,puzzle_23_mr,puzzle_23_bl,puzzle_23_bm,hexagon
puzzle_24_tl,puzzle_24_tm,puzzle_24_tr,puzzle_24_ml,puzzle_24_mm,puzzle_24_mr,puzzle_24_bl,puzzle_24_bm,square
puzzle_25_tl,puzzle_25_tm,puzzle_25_tr,puzzle_25_ml,puzzle_25_mm,puzzle_25_mr,puzzle_25_bl,puzzle_25_bm,rhombus
puzzle_26_tl,puzzle_26_tm,puzzle_26_tr,puzzle_26_ml,puzzle_26_mm,puzzle_26_mr,puzzle_26_bl,puzzle_26_bm,trapeze
puzzle_27_tl,puzzle_27_tm,puzzle_27_tr,puzzle_27_ml,puzzle_27_mm,puzzle_27_mr,puzzle_27_bl,puzzle_27_bm,square
puzzle_28_tl,puzzle_28_tm,puzzle_28_tr,puzzle_28_ml,puzzle_28_mm,puzzle_28_mr,puzzle_28_bl,puzzle_28_bm,square
puzzle_29_tl,puzzle_29_tm,puzzle_29_tr,puzzle_29_ml,puzzle_29_mm,puzzle_29_mr,puzzle_29_bl,puzzle_29_bm,kite
puzzle_30_tl,puzzle_30_tm,puzzle_30_tr,puzzle_30_ml,puzzle_30_mm,puzzle_30_mr,puzzle_30_bl,puzzle_30_bm,trapeze
puzzle_31_tl,puzzle_31_tm,puzzle_31_tr,puzzle_31_ml,puzzle_31_mm,puzzle_31_mr,puzzle_31_bl,puzzle_31_bm,right_triangle
puzzle_32_tl,puzzle_32_tm,puzzle_32_tr,puzzle_32_ml,puzzle_32_mm,puzzle_32_mr,puzzle_32_bl,puzzle_32_bm,right_triangle
puzzle_33_tl,puzzle_33_tm,puzzle_33_tr,puzzle_33_ml,puzzle_33_mm,puzzle_33_mr,puzzle_33_bl,puzzle_33_bm,pentagon
puzzle_34_tl,puzzle_34_tm,puzzle_34_tr,puzzle_34_ml,puzzle_34_mm,puzzle_34_mr,puzzle_34_bl,puzzle_34_bm,right_triangle
puzzle_35_tl,puzzle_35_tm,puzzle_35_tr,puzzle_35_ml,puzzle_35_mm,puzzle_35_mr,puzzle_35_bl,puzzle_35_bm,triangle
puzzle_36_tl,puzzle_36_tm,puzzle_36_tr,puzzle_36_ml,puzzle_36_mm,puzzle_36_mr,puzzle_36_bl,puzzle_36_bm,triangle
puzzle_37_tl,puzzle_37_tm,puzzle_37_tr,puzzle_37_ml,puzzle_37_mm,puzzle_37_mr,puzzle_37_bl,puzzle_37_bm,kite
puzzle_38_tl,puzzle_38_tm,puzzle_38_tr,puzzle_38_ml,puzzle_38_mm,puzzle_38_mr,puzzle_38_bl,puzzle_38_bm,trapeze
puzzle_39_tl,puzzle_39_tm,puzzle_39_tr,puzzle_39_ml,puzzle_39_mm,puzzle_39_mr,puzzle_39_bl,puzzle_39_bm,pentagon
puzzle_40_tl,puzzle_40_tm,puzzle_40_tr,puzzle_40_ml,puzzle_40_mm,puzzle_40_mr,puzzle_40_bl,puzzle_40_bm,pentagon
puzzle_41_tl,puzzle_41_tm,puzzle_41_tr,puzzle_41_ml,puzzle_41_mm,puzzle_41_mr,puzzle_41_bl,puzzle_41_bm,square
puzzle_42_tl,puzzle_42_tm,puzzle_42_tr,puzzle_42_ml,puzzle_42_mm,puzzle_42_mr,puzzle_42_bl,puzzle_42_bm,kite
puzzle_43_tl,puzzle_43_tm,puzzle_43_tr,puzzle_43_ml,puzzle_43_mm,puzzle_43_mr,puzzle_43_bl,puzzle_43_bm,triangle
puzzle_44_tl,puzzle_44_tm,puzzle_44_tr,puzzle_44_ml,puzzle_44_mm,puzzle_44_mr,puzzle_44_bl,puzzle_44_bm,hexagon
