top_left,top_right,bottom_left,shape,colour
puzzle_0_tl,puzzle_0_tr,puzzle_0_bl,kite,blue
puzzle_1_tl,puzzle_1_tr,puzzle_1_bl,pentagon,green
puzzle_2_tl,puzzle_2_tr,puzzle_2_bl,triangle,red
puzzle_3_tl,puzzle_3_tr,puzzle_3_bl,rhombus,green
puzzle_4_tl,puzzle_4_tr,puzzle_4_bl,circle,red
puzzle_5_tl,puzzle_5_tr,puzzle_5_bl,rhombus,yellow
puzzle_6_tl,puzzle_6_tr,puzzle_6_bl,triangle,red
puzzle_7_tl,puzzle_7_tr,puzzle_7_bl,rhombus,green
puzzle_8_tl,puzzle_8_tr,puzzle_8_bl,rhombus,green
puzzle_9_tl,puzzle_9_tr,puzzle_9_bl,rhombus,red
puzzle_10_tl,puzzle_10_tr,puzzle_10_bl,kite,green
puzzle_11_tl,puzzle_11_tr,puzzle_11_bl,hexagon,red
puzzle_12_tl,puzzle_12_tr,puzzle_12_bl,trapeze,yellow
puzzle_13_tl,puzzle_13_tr,puzzle_13_bl,triangle,yellow
puzzle_14_tl,puzzle_14_tr,puzzle_14_bl,square,blue
puzzle_15_tl,puzzle_15_tr,puzzle_15_bl,trapeze,red
puzzle_16_tl,puzzle_16_tr,puzzle_16_bl,rhombus,red
puzzle_17_tl,puzzle_17_tr,puzzle_17_bl,rhombus,blue
puzzle_18_tl,puzzle_18_tr,puzzle_18_bl,right_triangle,blue
puzzle_19_tl,puzzle_19_tr,puzzle_19_bl,right_triangle,blue
puzzle_20_tl,puzzle_20_tr,puzzle_20_bl,hexagon,blue
puzzle_21_tl,puzzle_21_tr,puzzle_21_bl,square,green
puzzle_22_tl,puzzle_22_tr,puzzle_22_bl,right_triangle,blue
puzzle_23_tl,puzzle_23_tr,puzzle_23_bl,kite,yellow
puzzle_24_tl,puzzle_24_tr,puzzle_24_bl,trapeze,yellow
puzzle_25_tl,puzzle_25_tr,puzzle_25_bl,trapeze,blue
puzzle_26_tl,puzzle_26_tr,puzzle_26_bl,trapeze,green
puzzle_27_tl,puzzle_27_tr,puzzle_27_bl,kite,red
puzzle_28_tl,puzzle_28_tr,puzzle_28_bl,circle,blue
puzzle_29_tl,puzzle_29_tr,puzzle_29_bl,square,blue
